Variable;Abbreviation;Item (translated);Scale (translated);Reference
(Intro Climate Crisis Behavioral Intention);;Please now rate the following statements on climate protection measures.;;
Climate Crisis Behavioral Intention;CCBI1;I plan (to continue) to avoid the consumption of animal products such as meat, dairy or eggs.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Sorrell et al., 2020)
Climate Crisis Behavioral Intention;CCBI2;I plan to deliberately heat my home less.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Sorrell et al., 2020)
Climate Crisis Behavioral Intention;CCBI3;I plan to avoid trips by car.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Sorrell et al., 2020)
Climate Crisis Behavioral Intention;CCBI4;In general, I plan to take measures to protect the climate.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";
Subjective Knowledge;CCSKN;How would you rate your level of knowledge about climate change?;"no knowledge at all
little knowledge
rather little knowledge
rather a lot of knowledge
a lot of knowledge
very much knowledge";
(Intro Knowledge);;Please rate the following statements about climate change.;;
Knowledge;CCKN1;"Today's global CO2 concentration in the
atmosphere already occurred in the past
650,000 years.";"true
false
don't know";(Tobler et al., 2012)
Knowledge;CCKN2;Despite its very low concentration in the atmosphere, nitrous oxide contributes about 6 % to the anthropogenic greenhouse effect, as its effect as a greenhouse gas is 298 times stronger than that of CO2.;"true
false
don't know";(Plöger, 2020)
Knowledge*;CCKN3;CO2 usually remains in the atmosphere for between 10 and 20 years.;"true
false
don't know";(Plöger, 2020)
Knowledge;CCKN4;The Earth has been in a phase of rewarming from the Little Ice Age since about 1850, which is roughly the beginning of the Industrial Revolution.;"true
false
don't know";(Plöger, 2020)
Knowledge*;CCKN5;The ozone hole is one of the major causes of global warming.;"true
false
don't know";(Plöger, 2020)
Knowledge*;CCKN6;Large volcanic eruptions significantly amplify global warming.;"true
false
don't know";"(Plöger, 2020; Tobler et al. 2012)"
(Intro Distrusting Beliefs);;"Climate science is concerned with the laws that govern the development of the climate. Many scientific disciplines play a role in climate research, for example meteorology and physics. Computer models also constitute an important tool.

The following questions ask for your opinion about science and scientists who study the climate. There are no wrong or right answers. We are only interested in your personal opinion.";;Parker 2018
Distrusting Beliefs in Science (Benevolence);CCDI1;Scientists who study the climate are more interested in their own advancement than in the welfare of people.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";"(Nadelson et al., 2014; McKnight and Choudhury, 2006)"
Distrusting Beliefs in Science (Benevolence)*;CCDI2;Climate science acts in the interest of mankind.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(Grimmelikhuijsen & Knies, 2017)
Distrusting Beliefs in Science (Benevolence);CCDI3;Climate science is not interested in the well-being of mankind.;"Do not agree at all
Do not agree
Rather not agree
Rather agree
Agree
Agree completely";(McKnight and Choudhury, 2006)
